productReference;Brand;IDTECDOC;EAN;Name;Description;Stock;price;Currency;priceeurop;Currency.1
AS-509713;ASLYX;5259;2000020003129.0;PIECESOE;PIECESOE;1.0;119,74;EUR;119,74;EUR
1000-010-163;jrone;6662;1000000132367.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-164;jrone;6662;1000000132368.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-165;jrone;6662;1000000132369.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-237;jrone;6662;1000000132370.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-237B;jrone;6662;1000000132371.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-237C;jrone;6662;1000000132372.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-254;jrone;6662;1000000132373.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-312;jrone;6662;1000000132374.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-322;jrone;6662;1000000132375.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-329;jrone;6662;1000000132376.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-331;jrone;6662;1000000132377.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-341;jrone;6662;1000000132378.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-344;jrone;6662;1000000132379.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-348;jrone;6662;1000000132380.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-351;jrone;6662;1000000132381.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-358;jrone;6662;1000000132382.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-360;jrone;6662;1000000132383.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-379;jrone;6662;1000000132384.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-393;jrone;6662;1000000132385.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-401;jrone;6662;1000000132386.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-438;jrone;6662;1000000132387.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-467B;jrone;6662;1000000132388.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-501;jrone;6662;1000000132389.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-517;jrone;6662;1000000132390.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-530;jrone;6662;1000000132391.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-535;jrone;6662;1000000132392.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-542;jrone;6662;1000000132393.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-544;jrone;6662;1000000132394.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-562;jrone;6662;1000000132395.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-010-575B;jrone;6662;1000000132396.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
