tiltle;Teilemarke,  Teilenummer;Unnamed: 2;Unnamed: 3;Preis;Unnamed: 5;interne Artikelnummer;Unnamed: 7;Unnamed: 8;Unnamed: 9;Zustand;Pfand;Unnamed: 12;Versandklasse ;Unnamed: 14;Unnamed: 15;Lieferzeit
;Airstal, 10-0200;;;289,85;;10-0200;;;;1.0;0;;1;;;3
;Airstal, 10-0201;;;283,31;;10-0201;;;;6.0;0;;1;;;3
;Airstal, 10-0203;;;252,8;;10-0203;;;;59.0;0;;1;;;3
;Airstal, 10-0204;;;265,88;;10-0204;;;;1.0;0;;1;;;3
;Airstal, 10-0205;;;272,41;;10-0205;;;;1.0;0;;1;;;3
;Airstal, 10-0206;;;337,79;;10-0206;;;;1.0;0;;1;;;3
;Airstal, 10-0207;;;296,38;;10-0207;;;;1.0;0;;1;;;3
;Airstal, 10-0208;;;342,15;;10-0208;;;;1.0;0;;1;;;3
;Airstal, 10-0209;;;307,28;;10-0209;;;;2.0;0;;1;;;3
;Airstal, 10-0210;;;331,26;;10-0210;;;;132.0;0;;1;;;3
;Airstal, 10-0211;;;313,82;;10-0211;;;;2.0;0;;1;;;3
;Airstal, 10-0212;;;298,57;;10-0212;;;;18.0;0;;1;;;3
;Airstal, 1002135;;;459,83;;15980;;;;1.0;0;;1;;;3
;Airstal, 10-0214;;;337,79;;10-0214;;;;6.0;0;;1;;;3
;Airstal, 10-0215;;;285,48;;10-0215;;;;1.0;0;;1;;;3
;Airstal, 10-0216;;;342,15;;10-0216;;;;1.0;0;;1;;;3
;Airstal, 10-0217;;;268,05;;10-0217;;;;33.0;0;;1;;;3
;Airstal, 10-0219;;;261,52;;10-0219;;;;114.0;0;;1;;;3
;Airstal, 10-0220;;;363,95;;10-0220;;;;9.0;0;;1;;;3
;Airstal, 10-0222;;;265,88;;10-0222;;;;6.0;0;;1;;;3
;Airstal, 10-0223;;;268,05;;10-0223;;;;3.0;0;;1;;;3
;Airstal, 10-0224;;;257,16;;10-0224;;;;5.0;0;;1;;;3
;Airstal, 10-0225;;;268,05;;10-0225;;;;35.0;0;;1;;;3
;Airstal, 10-0226;;;337,79;;10-0226;;;;2.0;0;;1;;;3
;Airstal, 10-0228;;;318,17;;10-0228;;;;1.0;0;;1;;;3
;Airstal, 10-0230;;;355,22;;10-0230;;;;1.0;0;;1;;;3
;Airstal, 10-0233;;;333,43;;10-0233;;;;7.0;0;;1;;;3
;Airstal, 10-0235;;;257,16;;10-0235;;;;6.0;0;;1;;;3
;Airstal, 10-0237;;;333,43;;10-0237;;;;1.0;0;;1;;;3
;Airstal, 10-0239;;;359,58;;10-0239;;;;1.0;0;;1;;;3
;Airstal, 10-0240;;;337,79;;10-0240;;;;1.0;0;;1;;;3
;Airstal, 10-0241;;;359,58;;10-0241;;;;1.0;0;;1;;;3
;Airstal, 10-0242;;;337,79;;10-0242;;;;1.0;0;;1;;;3
;Airstal, 10-0243;;;324,72;;10-0243;;;;7.0;0;;1;;;3
;Airstal, 10-0247;;;342,15;;10-0247;;;;7.0;0;;1;;;3
;Airstal, 10-0248;;;283,31;;10-0248;;;;2.0;0;;1;;;3
;Airstal, 10-0249;;;265,88;;10-0249;;;;12.0;0;;1;;;3
;Airstal, 1002501;;;418,43;;16346;;;;1.0;0;;1;;;3
;Airstal, 10-0254;;;307,28;;10-0254;;;;1.0;0;;1;;;3
;Airstal, 10-0255;;;331,26;;10-0255;;;;1.0;0;;1;;;3
;Airstal, 10-0256;;;316;;10-0256;;;;4.0;0;;1;;;3
;Airstal, 10-0259;;;278,95;;10-0259;;;;46.0;0;;1;;;3
;Airstal, 10-0260;;;278,95;;10-0260;;;;17.0;0;;1;;;3
;Airstal, 10-0261;;;331,26;;10-0261;;;;7.0;0;;1;;;3
;Airstal, 10-0263;;;296,38;;10-0263;;;;7.0;0;;1;;;3
;Airstal, 10-0264;;;300,74;;10-0264;;;;1.0;0;;1;;;3
;Airstal, 10-0265;;;361,76;;10-0265;;;;8.0;0;;1;;;3
;Airstal, 10-0266;;;292,03;;10-0266;;;;2.0;0;;1;;;3
;Airstal, 10-0267;;;313,82;;10-0267;;;;5.0;0;;1;;;3
;Airstal, 10-0268;;;305,1;;10-0268;;;;60.0;0;;1;;;3
;Airstal, 10-0269;;;318,17;;10-0269;;;;5.0;0;;1;;;3
;Airstal, 10-0273;;;302,93;;10-0273;;;;1.0;0;;1;;;3
;Airstal, 10-0276;;;296,38;;10-0276;;;;9.0;0;;1;;;3
;Airstal, 10-0278;;;318,17;;10-0278;;;;1.0;0;;1;;;3
;Airstal, 10-0280;;;307,28;;10-0280;;;;2.0;0;;1;;;3
;Airstal, 10-0282;;;302,93;;10-0282;;;;3.0;0;;1;;;3
;Airstal, 10-0283;;;296,38;;10-0283;;;;1.0;0;;1;;;3
;Airstal, 10-0284;;;261,52;;10-0284;;;;3.0;0;;1;;;3
;Airstal, 10-0285;;;296,38;;10-0285;;;;3.0;0;;1;;;3
;Airstal, 10-0288;;;313,82;;10-0288;;;;3.0;0;;1;;;3
;Airstal, 10-0289;;;377,02;;10-0289;;;;1.0;0;;1;;;3
;Airstal, 10-0290;;;296,38;;10-0290;;;;4.0;0;;1;;;3
;Airstal, 10-0291;;;337,79;;10-0291;;;;1.0;0;;1;;;3
;Airstal, 10-0293;;;272,41;;10-0293;;;;18.0;0;;1;;;3
;Airstal, 10-0295;;;320,36;;10-0295;;;;21.0;0;;1;;;3
;Airstal, 10-0296;;;268,05;;10-0296;;;;1.0;0;;1;;;3
;Airstal, 10-0297;;;307,28;;10-0297;;;;3.0;0;;1;;;3
;Airstal, 10-0298;;;289,85;;10-0298;;;;1.0;0;;1;;;3
;Airstal, 10-0299;;;296,38;;10-0299;;;;6.0;0;;1;;;3
;Airstal, 10-0301;;;285,48;;10-0301;;;;1.0;0;;1;;;3
;Airstal, 10-0304;;;296,38;;10-0304;;;;1.0;0;;1;;;3
;Airstal, 10-0306;;;331,26;;10-0306;;;;2.0;0;;1;;;3
;Airstal, 10-0312;;;318,17;;10-0312;;;;2.0;0;;1;;;3
;Airstal, 10-0313;;;385,74;;10-0313;;;;9.0;0;;1;;;3
;Airstal, 10-0316;;;333,43;;10-0316;;;;1.0;0;;1;;;3
;Airstal, 10-0318;;;274,59;;10-0318;;;;63.0;0;;1;;;3
;Airstal, 10-0319;;;324,72;;10-0319;;;;2.0;0;;1;;;3
;Airstal, 10-0320;;;263,69;;10-0320;;;;1.0;0;;1;;;3
;Airstal, 10-0321;;;353,05;;10-0321;;;;3.0;0;;1;;;3
;Airstal, 10-0324;;;294,21;;10-0324;;;;1.0;0;;1;;;3
;Airstal, 10-0325;;;366,12;;10-0325;;;;1.0;0;;1;;;3
;Airstal, 10-0326;;;296,38;;10-0326;;;;1.0;0;;1;;;3
;Airstal, 10-0327;;;296,38;;10-0327;;;;2.0;0;;1;;;3
;Airstal, 10-0328;;;333,43;;10-0328;;;;11.0;0;;1;;;3
;Airstal, 10-0329;;;283,31;;10-0329;;;;13.0;0;;1;;;3
;Airstal, 10-0332;;;307,28;;10-0332;;;;2.0;0;;1;;;3
;Airstal, 10-0334;;;313,82;;10-0334;;;;13.0;0;;1;;;3
;Airstal, 10-0338;;;296,38;;10-0338;;;;1.0;0;;1;;;3
;Airstal, 10-0340;;;337,79;;10-0340;;;;3.0;0;;1;;;3
;Airstal, 10-0342;;;337,79;;10-0342;;;;1.0;0;;1;;;3
;Airstal, 10-0346;;;281,13;;10-0346;;;;8.0;0;;1;;;3
;Airstal, 10-0347;;;324,72;;10-0347;;;;2.0;0;;1;;;3
;Airstal, 10-0348;;;296,38;;10-0348;;;;1.0;0;;1;;;3
;Airstal, 10-0349;;;274,59;;10-0349;;;;3.0;0;;1;;;3
;Airstal, 10-0350;;;359,58;;10-0350;;;;1.0;0;;1;;;3
;Airstal, 10-0354;;;276,77;;10-0354;;;;1.0;0;;1;;;3
;Airstal, 10-0355;;;359,58;;10-0355;;;;2.0;0;;1;;;3
;Airstal, 10-0356;;;337,79;;10-0356;;;;1.0;0;;1;;;3
;Airstal, 10-0357;;;333,43;;10-0357;;;;1.0;0;;1;;;3
;Airstal, 10-0358;;;316;;10-0358;;;;1.0;0;;1;;;3
;Airstal, 10-0361;;;268,05;;10-0361;;;;1.0;0;;1;;;3
;Airstal, 10-0364;;;313,82;;10-0364;;;;3.0;0;;1;;;3
;Airstal, 10-0365;;;296,38;;10-0365;;;;1.0;0;;1;;;3
;Airstal, 10-0366;;;333,43;;10-0366;;;;1.0;0;;1;;;3
;Airstal, 10-0367;;;337,79;;10-0367;;;;4.0;0;;1;;;3
;Airstal, 10-0368;;;283,31;;10-0368;;;;2.0;0;;1;;;3
;Airstal, 10-0370;;;302,93;;10-0370;;;;2.0;0;;1;;;3
;Airstal, 10-0371;;;311,64;;10-0371;;;;2.0;0;;1;;;3
;Airstal, 10-0372;;;359,58;;10-0372;;;;1.0;0;;1;;;3
;Airstal, 10-0373;;;331,26;;10-0373;;;;4.0;0;;1;;;3
;Airstal, 10-0374;;;302,93;;10-0374;;;;1.0;0;;1;;;3
;Airstal, 10-0375;;;285,48;;10-0375;;;;16.0;0;;1;;;3
;Airstal, 10-0376;;;296,38;;10-0376;;;;1.0;0;;1;;;3
;Airstal, 10-0378;;;342,15;;10-0378;;;;1.0;0;;1;;;3
;Airstal, 10-0380;;;333,43;;10-0380;;;;1.0;0;;1;;;3
;Airstal, 10-0383;;;296,38;;10-0383;;;;2.0;0;;1;;;3
;Airstal, 10-0385;;;342,15;;10-0385;;;;3.0;0;;1;;;3
;Airstal, 10-0388;;;296,38;;10-0388;;;;3.0;0;;1;;;3
;Airstal, 10-0390;;;270,24;;10-0390;;;;44.0;0;;1;;;3
;Airstal, 10-0392;;;283,31;;10-0392;;;;17.0;0;;1;;;3
;Airstal, 10-0393;;;333,43;;10-0393;;;;4.0;0;;1;;;3
;Airstal, 10-0394;;;296,38;;10-0394;;;;1.0;0;;1;;;3
;Airstal, 10-0395;;;296,38;;10-0395;;;;1.0;0;;1;;;3
;Airstal, 10-0396;;;283,31;;10-0396;;;;6.0;0;;1;;;3
;Airstal, 1003962;;;359,58;;17807;;;;1.0;0;;1;;;3
;Airstal, 10-0397;;;335,62;;10-0397;;;;2.0;0;;1;;;3
;Airstal, 10-0398;;;294,21;;10-0398;;;;2.0;0;;1;;;3
;Airstal, 10-0399;;;252,8;;10-0399;;;;1.0;0;;1;;;3
;Airstal, 10-0400;;;278,95;;10-0400;;;;9.0;0;;1;;;3
;Airstal, 10-0402;;;294,21;;10-0402;;;;2.0;0;;1;;;3
;Airstal, 10-0403;;;276,77;;10-0403;;;;170.0;0;;1;;;3
;Airstal, 10-0404;;;294,21;;10-0404;;;;120.0;0;;1;;;3
;Airstal, 10-0406;;;359,58;;10-0406;;;;1.0;0;;1;;;3
;Airstal, 10-0408;;;302,93;;10-0408;;;;4.0;0;;1;;;3
;Airstal, 10-0409;;;405,35;;10-0409;;;;1.0;0;;1;;;3
;Airstal, 10-0410;;;335,62;;10-0410;;;;1.0;0;;1;;;3
;Airstal, 10-0411;;;331,26;;10-0411;;;;2.0;0;;1;;;3
;Airstal, 10-0412;;;331,26;;10-0412;;;;2.0;0;;1;;;3
;Airstal, 10-0413;;;287,67;;10-0413;;;;3.0;0;;1;;;3
;Airstal, 10-0414;;;316;;10-0414;;;;1.0;0;;1;;;3
;Airstal, 10-0416;;;316;;10-0416;;;;2.0;0;;1;;;3
;Airstal, 10-0417;;;331,26;;10-0417;;;;1.0;0;;1;;;3
;Airstal, 10-0419;;;337,79;;10-0419;;;;1.0;0;;1;;;3
;Airstal, 10-0420;;;337,79;;10-0420;;;;1.0;0;;1;;;3
;Airstal, 10-0423;;;268,05;;10-0423;;;;6.0;0;;1;;;3
;Airstal, 10-0424;;;359,58;;10-0424;;;;2.0;0;;1;;;3
;Airstal, 10-0432;;;274,59;;10-0432;;;;1.0;0;;1;;;3
;Airstal, 10-0433;;;296,38;;10-0433;;;;3.0;0;;1;;;3
;Airstal, 10-0434;;;296,38;;10-0434;;;;1.0;0;;1;;;3
;Airstal, 10-0439;;;296,38;;10-0439;;;;1.0;0;;1;;;3
;Airstal, 10-0440;;;281,13;;10-0440;;;;9.0;0;;1;;;3
;Airstal, 10-0441;;;281,13;;10-0441;;;;17.0;0;;1;;;3
;Airstal, 10-0442;;;272,41;;10-0442;;;;18.0;0;;1;;;3
;Airstal, 10-0445;;;363,95;;10-0445;;;;1.0;0;;1;;;3
;Airstal, 10-0451;;;268,05;;10-0451;;;;6.0;0;;1;;;3
;Airstal, 10-0452;;;361,76;;10-0452;;;;4.0;0;;1;;;3
;Airstal, 10-0454;;;296,38;;10-0454;;;;2.0;0;;1;;;3
;Airstal, 10-0455;;;296,38;;10-0455;;;;1.0;0;;1;;;3
;Airstal, 10-0456;;;274,59;;10-0456;;;;14.0;0;;1;;;3
;Airstal, 10-0457;;;274,59;;10-0457;;;;1.0;0;;1;;;3
;Airstal, 10-0458;;;302,93;;10-0458;;;;1.0;0;;1;;;3
;Airstal, 10-0460;;;296,38;;10-0460;;;;1.0;0;;1;;;3
;Airstal, 10-0463;;;296,38;;10-0463;;;;2.0;0;;1;;;3
;Airstal, 10-0465;;;335,62;;10-0465;;;;1.0;0;;1;;;3
;Airstal, 10-0467;;;307,28;;10-0467;;;;1.0;0;;1;;;3
;Airstal, 10-0473;;;355,22;;10-0473;;;;3.0;0;;1;;;3
;Airstal, 10-0474;;;294,21;;10-0474;;;;23.0;0;;1;;;3
;Airstal, 10-0475;;;324,72;;10-0475;;;;1.0;0;;1;;;3
;Airstal, 10-0476;;;278,95;;10-0476;;;;2.0;0;;1;;;3
;Airstal, 10-0477;;;294,21;;10-0477;;;;7.0;0;;1;;;3
;Airstal, 10-0478;;;313,82;;10-0478;;;;2.0;0;;1;;;3
;Airstal, 10-0479;;;272,41;;10-0479;;;;3.0;0;;1;;;3
;Airstal, 10-0483;;;296,38;;10-0483;;;;1.0;0;;1;;;3
;Airstal, 10-0484;;;320,36;;10-0484;;;;6.0;0;;1;;;3
;Airstal, 10-0485;;;346,51;;10-0485;;;;1.0;0;;1;;;3
;Airstal, 10-0486;;;316;;10-0486;;;;7.0;0;;1;;;3
;Airstal, 10-0487;;;313,82;;10-0487;;;;1.0;0;;1;;;3
;Airstal, 10-0488;;;359,58;;10-0488;;;;1.0;0;;1;;;3
