ID_Product,Quantity,Quantity_Fourniss_After_Cumule,available
G00591B,1,1,1
G00591C,1,1,1
G00592B,1,1,1
G00592C,1,1,1
G00593B,1,1,1
G00595C,1,1,1
G00601C,1,1,1
G00602C,1,1,1
G00603P,1,1,1
G00607C,1,1,1
G00608C,1,1,1
G00609C,1,1,1
G00610C,1,1,1
G00610V,1,1,1
G00611P,1,1,1
G00613C,0,0,0
G00614B,1,1,1
G00615P,1,1,1
G00617P,0,0,0
G00618P,1,1,1
G00619B,1,1,1
G00620B,1,1,1
G00621B,1,1,1
G00621C,1,1,1
G00622C,1,1,1
G00623C,1,1,1
G00624C,1,1,1
G00624G,1,1,1
G00625C,1,1,1
G00627A,0,0,0
G00635C,1,1,1
G00636C,1,1,1
G00639C,1,1,1
G00640C,1,1,1
G00643V,1,1,1
G00645W,1,1,1
G00648C,1,1,1
G00651C,1,1,1
G00654C,1,1,1
G00656C,1,1,1
G00658C,1,1,1
G00660A,1,1,1
G00661A,1,1,1
G00662G,1,1,1
G00663C,1,1,1
G00663G,1,1,1
G00667C,1,1,1
G00668C,1,1,1
G00672C,1,1,1
G00673C,1,1,1
G00682G,1,1,1
G00683B,1,1,1
G00683C,0,0,0
G00684C,1,1,1
G00688C,1,1,1
G00692H,1,1,1
G00695V,1,1,1
G00697W,1,1,1
G00701C,1,1,1
G00702C,1,1,1
G00705B,1,1,1
G00706B,1,1,1
G00707B,1,1,1
G00709C,1,1,1
G00710B,1,1,1
G00711B,1,1,1
G00711C,1,1,1
G00713B,1,1,1
G00713C,1,1,1
G00714B,1,1,1
G00714C,1,1,1
G00715C,1,1,1
G00716B,1,1,1
G00716C,0,0,0
G00717C,1,1,1
G00717H,1,1,1
G00719C,1,1,1
G00723C,1,1,1
G00724C,1,1,1
G00724H,1,1,1
G00725H,1,1,1
G00729B,1,1,1
G00733C,1,1,1
G00734P,1,1,1
G00735H,1,1,1
G00736W,0,0,0
G00738P,1,1,1
G00739G,1,1,1
G00740A,1,1,1
G00741B,1,1,1
G00745B,1,1,1
G00746C,1,1,1
G00747C,1,1,1
G00748C,1,1,1
G00749C,1,1,1
G00751C,1,1,1
G00752C,0,0,0
G00755C,1,1,1
G00757C,1,1,1
G00759C,1,1,1
G00760C,1,1,1
G00762AC,0,0,0
G00762C,1,1,1
G00764C,1,1,1
G00767V,0,0,0
G00772C,1,1,1
G00775C,0,0,0
G00776C,1,1,1
G00778C,1,1,1
G00780C,1,1,1
G00784AC,1,1,1
G00784C,1,1,1
G00787C,1,1,1
G00793C,1,1,1
G00798AC,0,0,0
G00798C,1,1,1
G00799A,1,1,1
G00799C,0,0,0
G00804C,1,1,1
G00805C,1,1,1
G00806C,1,1,1
G00807C,1,1,1
G00808C,1,1,1
G00812C,1,1,1
G00813C,1,1,1
G00819C,1,1,1
G00820C,1,1,1
G00821AC,1,1,1
G00821C,1,1,1
G00822B,1,1,1
G00823B,1,1,1
G00832C,0,0,0
G00832P,1,1,1
G00833P,1,1,1
G00838B,1,1,1
G00839B,1,1,1
G00839C,1,1,1
G00841B,1,1,1
G00841C,1,1,1
G00845C,1,1,1
G00846C,1,1,1
G00847C,1,1,1
G00848C,1,1,1
G00850P,1,1,1
G00852V,1,1,1
G00854C,1,1,1
G00855C,0,0,0
G00857B,1,1,1
G00857C,1,1,1
G00860C,1,1,1
G00862C,1,1,1
G00862P,1,1,1
G00863C,0,0,0
G00872C,1,1,1
G00873C,1,1,1
G00875B,1,1,1
G00877C,0,0,0
G00879R,1,1,1
G00880R,0,0,0
G00881C,1,1,1
G00881E,0,0,0
G00882E,0,0,0
G00886H,1,1,1
G00887B,1,1,1
G00888C,1,1,1
G00888R,1,1,1
G00889R,1,1,1
G00890C,1,1,1
G00890R,1,1,1
G00891C,1,1,1
G00892R,1,1,1
G00893R,1,1,1
G00894C,1,1,1
G00894P,1,1,1
G00894R,1,1,1
G00895R,1,1,1
G00896R,1,1,1
G00897C,1,1,1
G00901C,1,1,1
G00902C,1,1,1
G00903C,1,1,1
G00904R,1,1,1
G00905C,1,1,1
G00905R,1,1,1
G00907V,1,1,1
G00908C,1,1,1
G00908R,1,1,1
G00909A,0,0,0
G00910C,1,1,1
G00911C,1,1,1
G00912C,0,0,0
G00913A,1,1,1
G00913C,1,1,1
G00913W,1,1,1
G00915C,1,1,1
G00916C,1,1,1
G00916E,1,1,1
G00918G,1,1,1
G00924R,1,1,1
G00925W,1,1,1
G00926W,1,1,1
G00927A,1,1,1
G00927E,1,1,1
G00928A,1,1,1
G00928E,1,1,1
G00929E,1,1,1
G00930E,1,1,1
G00931G,1,1,1
G00935E,0,0,0
G00939P,1,1,1
G00940H,1,1,1
G00955G,1,1,1
G00958A,1,1,1
G01000C,1,1,1
G01011G,1,1,1
G01014H,1,1,1
G01031W,1,1,1
G01036W,0,0,0
G01037W,0,0,0
G01041W,1,1,1
G01054G,1,1,1
G01056G,1,1,1
G01056W,1,1,1
G01057B,1,1,1
G01060G,1,1,1
G01063G,1,1,1
G01065V,1,1,1
G01086H,1,1,1
G01091P,1,1,1
G01093A,1,1,1
G01103B,1,1,1
G01104P,1,1,1
G01106V,1,1,1
G01107W,1,1,1
G01108W,1,1,1
