ID_Product,Quantity,Quantity_Fourniss_After_Cumule
05P516,1,1
05P517,1,1
05P518,0,0
05P520,0,0
05P524,3,3
05P537,0,0
05P539,0,0
05P542,2,2
05P544,1,1
05P546,1,1
05P550,1,1
05P553,0,0
05P558,0,0
05P559,2,2
05P561,0,0
05P564,0,0
05P565,9,9
05P567,2,2
05P569,2,2
05P570,1,1
05P575,1,1
05P577,2,2
05P578,10,10
05P580,5,5
05P582,6,6
05P583,0,0
05P585,7,7
05P587,1,1
05P591,4,4
05P592,3,3
05P595,1,1
05P599,4,4
05P600,3,3
05P601,2,2
05P602,2,2
05P605,2,2
05P608,1,1
05P609,3,3
05P610,0,0
05P611,0,0
05P612,3,3
05P613,2,2
05P614,4,4
05P615,4,4
05P617,2,2
05P619,6,6
05P620,13,13
05P621,4,4
05P622,12,12
05P623,1,1
05P624,2,2
05P625,1,1
05P627,0,0
05P628,3,3
05P629,4,4
05P632,0,0
05P633,5,5
05P633A,0,0
05P634,465,465
05P635,1,1
05P636,0,0
05P638,2,2
05P639,0,0
05P640,0,0
05P642,9,9
05P643,4,4
05P644,5,5
05P645,0,0
05P646,3,3
05P650,5,5
05P652,2,2
05P654,0,0
05P656,4,4
05P659,0,0
05P662,14,14
05P663,0,0
05P664,6,6
05P667,3,3
05P668,7,7
05P669,3,3
05P670,2,2
05P672,0,0
05P674,0,0
05P675,3,3
05P677,0,0
05P678,1,1
05P679,0,0
05P683,8,8
05P684,6,6
05P684B,3,3
05P685,1,1
05P686,0,0
05P687,5,5
05P688,0,0
05P689,4,4
05P690,3,3
05P692,34,34
05P693,4,4
05P695,2,2
05P696,12,12
05P697,5,5
05P698,3,3
05P699,5,5
05P700,2,2
05P704,2,2
05P705,5,5
05P706,2,2
05P707,2,2
05P708,23,23
05P709,1,1
05P711,1,1
05P713,0,0
05P714,2,2
05P716,0,0
05P717,0,0
05P718,5,5
05P719,9,9
05P721,1,1
05P725,3,3
05P726,2,2
05P728,0,0
05P729,0,0
05P730,6,6
05P731,2,2
05P736,2,2
05P737,1,1
05P739,0,0
05P740,0,0
05P745,2,2
05P747,0,0
05P749,1,1
05P750,2,2
05P755,0,0
05P756,0,0
05P757,7,7
05P761,4,4
05P763,0,0
05P764,10,10
05P766,10,10
05P767,7,7
05P768,2,2
05P769,1,1
05P771,1,1
05P772,1,1
05P775,0,0
05P776,1,1
05P777,5,5
05P778,2,2
05P785,0,0
05P787,0,0
05P790,11,11
05P791,25,25
05P792,2,2
05P793,8,8
05P794,1,1
05P795,0,0
05P796,1,1
05P798,2,2
05P799,2,2
05P800,7,7
05P801,3,3
05P802,232,232
05P805,51,51
05P806,14,14
05P807,12,12
05P808,1,1
05P811,10,10
05P814,2,2
05P815,38,38
05P816,30,30
05P817,3,3
05P818,1,1
05P830,6,6
05P831,20,20
05P833,0,0
05P836,1,1
05P837,4,4
05P838,1,1
05P840,0,0
05P841,2,2
05P842,0,0
05P845,0,0
05P846,0,0
05P848,2,2
05P849,1,1
05P849A,0,0
05P850,6,6
05P851,0,0
05P853,0,0
05P855,0,0
05P856,1,1
05P859,3,3
05P861,8,8
05P863,5,5
05P864,12,12
05P865,2,2
05P866,13,13
05P867,299,299
05P869,4,4
05P871,3,3
05P876,1,1
05P877,2,2
05P878,4,4
05P881,1,1
05P883,4,4
05P884,16,16
05P885,6,6
05P893,0,0
05P894,1,1
05P897,8,8
05P898,4,4
05P899,0,0
05P900,0,0
05P901,0,0
05P903,64,64
05P904,0,0
05P905,2,2
05P906,4,4
05P908,3,3
05P909,3,3
05P910,3,3
05P911,45,45
05P912,6,6
05P922,1,1
05P940,1,1
05P946,8,8
05P947,0,0
05P948,5,5
05P949,4,4
05P950,2,2
05P952,0,0
05P954,1,1
05P955,0,0
05P956,0,0
05P957,1,1
05P958,6,6
05P964,0,0
05P965,2,2
05P966,7,7
05P967,7,7
05P968,2,2
05P969,0,0
05P971,2,2
05P973,1,1
05P974,5,5
05P975,0,0
05P979,4,4
05P980,3,3
05P981,2,2
05P982,3,3
05P983,3,3
05P985,1,1
05P986,1,1
05P989,0,0
05P990,1,1
05P991,0,0
05P994,2,2
05P996,0,0
05P997,1,1
05P998,2,2
06361,5,5
063610,6,6
06367,111,111
06369,6,6
06371,4,4
063710,1,1
06373,8,8
06375,7,7
06377,20,20
06379,13,13
0697H,36,36
06991,2,2
06994,0,0
06995,11,11
070156,1,1
070165,12,12
070168,0,0
070169,1,1
070170,7,7
070271,6,6
070355,9,9
071206,4,4
071208,17,17
071218,8,8
071221,7,7
071223,13,13
071228,2,2
071230,5,5
071231,6,6
071233,24,24
071236,5,5
071237,1,1
071238,4,4
071239,6,6
071240,4,4
071241,3,3
071242,10,10
071243,3,3
071244,0,0
071245,0,0
071246,2,2
071247,2,2
071248,2,2
071249,2,2
071250,4,4
084531,3,3
0926H,4,4
09551,18,18
09552,5,5
10002,1,1
1000275AR,28,28
1000275ARPLAT,182,182
1000300AR,597,597
1000301,500,500
1000301AR,92,92
1000350,518,518
1000350AR,227,227
1000351,287,287
1000380,275,275
1000381,138,138
1000400,906,906
1000400AR,27,27
1000401,416,416
1000430,182,182
1000450,693,693
1000451,338,338
1000480,166,166
1000481,191,191
1000500,886,886
1000501,309,309
1000530,353,353
1000531,194,194
1000550,1044,1044
1000551,530,530
10006,2,2
1000600,987,987
1000601,1215,1215
1000650,1179,1179
1000651,1873,1873
1000701,499,499
1000751,216,216
1000801,265,265
10015,1,1
100165,3,3
100170,2,2
100176,1,1
100178,1,1
100182,3,3
100275,0,0
100277,3,3
100278,1,1
100280,2,2
100299,6,6
100373,4,4
100376,1,1
10051,3,3
10052,3,3
10075,4,4
10076,0,0
101076,1,1
10141,15,15
10151,1,1
10152,2,2
10181,1,1
10182,4,4
10200G,1,1
102032,2,2
10207,1,1
1020801,10,10
1020802,12,12
1020803,8,8
1020804,3,3
102100,42,42
1021001,41,41
1021002,40,40
102101,25,25
102102,55,55
102103,179,179
102109,492,492
102118,2,2
10215,0,0
10221,2,2
10224,1,1
1022501,59,59
1022502,28,28
1022590,7,7
10227,344,344
1022D05FR,67,67
1022D1FR,36,36
102500,120,120
10251,0,0
10252,1,1
10255,1,1
10256,0,0
10257,1,1
10258,0,0
102580,3,3
10259,4,4
10260,1,1
10263,3,3
10265,2,2
10267,2,2
10271,39,39
10272,5,5
10273,6,6
10274,7,7
1027507,1,1
1027508,1,1
1027523,2,2
1027525,2,2
1027529,1,1
1027530,1,1
1027531,5,5
1027532,1,1
10278,1,1
10279,11,11
10280,4,4
10282,1,1
10283,12,12
10285,5,5
10286,3,3
10287,5,5
10288,4,4
10289,1,1
10296,9,9
10297,2,2
10299,8,8
102997,8,8
102998,76,76
102999,63,63
10303,10,10
10315,0,0
10316,16,16
10320,17,17
1032590,19,19
10340,2,2
10350,6,6
10369,5,5
10370,5,5
10371,4,4
10372,1,1
10375,17,17
10376,7,7
10377,47,47
10378,15,15
10395,4,4
10396,0,0
10397,1,1
10401,1,1
10403,0,0
104040,52,52
10407,3,3
1041H,2,2
1042001,5,5
1042590,17,17
1042591,10,10
1042592,20,20
1042593,27,27
10451,1,1
10452,0,0
10453,0,0
10454,0,0
1047000,27,27
