platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
Departo-Germany,100611,1,27,26,20250812_135901,0,0,27,0,0,0,0,0
Departo-Germany,100612,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100613,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100614,1,34,33,20250812_135901,0,0,34,0,0,0,0,0
Departo-Germany,100617,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100618,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100619,1,10,9,20250812_135901,0,0,10,0,0,0,0,0
Departo-Germany,100620,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100621,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100623,1,15,14,20250812_135901,0,0,15,0,0,0,0,0
Departo-Germany,100624,1,82,81,20250812_135901,0,0,82,0,0,0,0,0
Departo-Germany,100628,1,97,96,20250812_135901,0,0,97,0,0,0,0,0
Departo-Germany,100629,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100630,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100631,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100632,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100633,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100634,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100635,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100636,1,29,28,20250812_135901,0,0,29,0,0,0,0,0
Departo-Germany,100637,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100639,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100642,1,43,42,20250812_135901,0,0,43,0,0,0,0,0
Departo-Germany,100644,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100645,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100648,1,11,10,20250812_135901,0,0,11,0,0,0,0,0
Departo-Germany,100649,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100650,1,34,33,20250812_135901,0,0,34,0,0,0,0,0
Departo-Germany,100653,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100655,1,41,40,20250812_135901,0,0,41,0,0,0,0,0
Departo-Germany,100656,1,30,29,20250812_135901,0,0,30,0,0,0,0,0
Departo-Germany,100657,1,10,9,20250812_135901,0,0,10,0,0,0,0,0
Departo-Germany,100658,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100659,1,16,15,20250812_135901,0,0,16,0,0,0,0,0
Departo-Germany,100660,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100661,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100662,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100664,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100667,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100669,1,20,19,20250812_135901,0,0,20,0,0,0,0,0
Departo-Germany,100670,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100671,1,32,31,20250812_135901,0,0,32,0,0,0,0,0
Departo-Germany,100673,1,27,26,20250812_135901,0,0,27,0,0,0,0,0
Departo-Germany,100674,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100677,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100678,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100681,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100683,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100684,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100687,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100688,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100691,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-Germany,100695,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100697,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100700,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100701,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100706,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100708,1,53,52,20250812_135901,0,0,53,0,0,0,0,0
Departo-Germany,100709,1,54,53,20250812_135901,0,0,54,0,0,0,0,0
Departo-Germany,100710,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100711,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100712,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100713,1,38,37,20250812_135901,0,0,38,0,0,0,0,0
Departo-Germany,100715,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100716,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100717,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100721,1,42,41,20250812_135901,0,0,42,0,0,0,0,0
Departo-Germany,100722,1,64,63,20250812_135901,0,0,64,0,0,0,0,0
Departo-Germany,100725,1,22,21,20250812_135901,0,0,22,0,0,0,0,0
Departo-Germany,100731,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100732,1,15,14,20250812_135901,0,0,15,0,0,0,0,0
Departo-Germany,100739,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100744,1,40,39,20250812_135901,0,0,40,0,0,0,0,0
Departo-Germany,100746,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100754,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100756,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-Germany,100764,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100767,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100769,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100771,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100772,1,11,10,20250812_135901,0,0,11,0,0,0,0,0
Departo-Germany,100774,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
