platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Storm,stock_eminia trading
Alzura,101859,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,101872,171,170,-1,20250811_165946,0,0,170,0,0,0,0
Alzura,101878,21,19,-2,20250811_165946,0,0,19,0,0,0,0
Alzura,101913,23,19,-4,20250811_165946,0,0,19,0,0,0,0
Alzura,101954,16,15,-1,20250811_165946,0,0,15,0,0,0,0
Alzura,101960,11,8,-3,20250811_165946,0,0,8,0,0,0,0
Alzura,102031,3,2,-1,20250811_165946,0,0,2,0,0,0,0
Alzura,102032,1,2,1,20250811_165946,0,0,0,0,0,2,0
Alzura,102037,8,5,-3,20250811_165946,0,0,5,0,0,0,0
Alzura,102041,4,5,1,20250811_165946,0,0,5,0,0,0,0
Alzura,102100,13,42,29,20250811_165946,0,0,13,0,0,29,0
Alzura,102101,4,25,21,20250811_165946,0,0,4,0,0,21,0
Alzura,102102,0,55,55,20250811_165946,0,0,0,0,0,55,0
Alzura,102103,95,179,84,20250811_165946,0,0,95,0,0,84,0
Alzura,102109,1,492,491,20250811_165946,0,0,1,0,0,491,0
Alzura,102118,1,2,1,20250811_165946,0,0,0,0,0,2,0
Alzura,102129,24,23,-1,20250811_165946,0,0,23,0,0,0,0
Alzura,102132,30,27,-3,20250811_165946,0,0,27,0,0,0,0
Alzura,102135,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,102140,40,38,-2,20250811_165946,0,0,38,0,0,0,0
Alzura,102176,142,140,-2,20250811_165946,0,0,140,0,0,0,0
Alzura,102179,4,2,-2,20250811_165946,0,0,2,0,0,0,0
Alzura,102239,1,7,6,20250811_165946,0,0,7,0,0,0,0
Alzura,102271,18,19,1,20250811_165946,0,0,19,0,0,0,0
Alzura,102472,1,4,3,20250811_165946,0,0,4,0,0,0,0
Alzura,102483,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,102500,1,120,119,20250811_165946,0,0,0,0,0,120,0
